chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	stability	mode_word	mode_count	total_extensions	gloss	all_words_json
na-i-*301-u	na-i-*301-u	na-i-*301-u-ti-nu-j	6	xrr	Etruscan	0.8333	tʰal	5	6		"[""-\u00d8"", ""t\u02b0al"", ""t\u02b0al"", ""t\u02b0al"", ""t\u02b0al"", ""t\u02b0al""]"
a-ra-me	a-ra-me	a-ra-me-u-na-ru	11	ave	Avestan	0.8182	[-]	9	11	bones	"[""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""= vat\u0283"", ""[-]"", ""[-]"", ""t\u0283va\u00f1t"", ""[-]""]"
a-ra-me	a-ra-me	a-ra-me-u-na-ru	11	xcr	Eteocretan	0.8182	γίσσα	9	11		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
me-u-na	me-u-na	me-u-na-ru-ka-n	11	phn	Phoenician	0.8182	huː	9	11		"[""hu\u02d0"", ""hu\u02d0"", ""hu\u02d0"", ""hu\u02d0"", ""hu\u02d0"", ""hu\u02d0"", ""hu\u02d0"", ""\u0294atta"", ""hu\u02d0"", ""ta\u0127at"", ""hu\u02d0""]"
ta-na-i	ta-na-i	ta-na-i-*301-u-ti-nu	11	xcr	Eteocretan	0.8182	γίσσα	9	11		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
u-ti-nu	u-ti-nu	u-ti-nu-i-na-i-d	11	ave	Avestan	0.8182	[-]	9	11	bones	"[""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""= vat\u0283"", ""[-]"", ""[-]"", "", van\u0261hu""]"
u-ti-nu	u-ti-nu	u-ti-nu-i-na-i-d	11	dra-pro	Proto-Dravidian	0.8182	ir-	9	11	wiktionary cat	"[""ir-"", ""a\u02d0j"", ""ir-"", ""ir-"", ""ir-"", ""ir-"", ""ir-"", ""ir-"", ""a\u02d0j"", ""ir-"", ""ir-""]"
u-ti-nu	u-ti-nu	u-ti-nu-i-na-i-d	11	xle	Eteocypriot	0.8182	aker	9	11	made	"[""aker"", ""heloke"", ""aker"", ""aker"", ""heloke"", ""aker"", ""aker"", ""aker"", ""aker"", ""aker"", ""aker""]"
a-na-i-*301	a-na-i-*301	a-na-i-*301-u-ti-nu	11	ave	Avestan	0.8182	[-]	9	11	bones	"[""t\u0283"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""[-]"", ""t\u0283a\u02d0t\u0330"", ""[-]""]"
a-na-i-*301	a-na-i-*301	a-na-i-*301-u-ti-nu	11	phn	Phoenician	0.8182	alef	9	11		"[""\u0127ajj\u00edm"", ""alef"", ""\u0127ajj\u00edm"", ""alef"", ""alef"", ""alef"", ""alef"", ""alef"", ""alef"", ""alef"", ""alef""]"
a-na-i-*301	a-na-i-*301	a-na-i-*301-u-ti-nu	11	sem-pro	Proto-Semitic	0.8182	U₃	9	11		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-r"", ""U\u2083"", ""-r""]"
a-na-i-*301	a-na-i-*301	a-na-i-*301-u-ti-nu	11	xcr	Eteocretan	0.8182	γίσσα	9	11		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
*301-wa-ja	*301-wa-ja	*301-wa-ja-ja-i-n-w	32	xcr	Eteocretan	0.8125	γίσσα	26	32		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""pjdl"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=l\u0329"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
wa-ja-ja	wa-ja-ja	wa-ja-ja-sa-sa	16	sem-pro	Proto-Semitic	0.8125	U₃	13	16		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-r"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-r"", ""-r"", ""U\u2083""]"
ta-i-*301-wa	ta-i-*301-wa	ta-i-*301-wa-ja-a-j	16	uga	Ugaritic	0.8125	ib	13	16	oracc neo	"[""ib"", ""ib"", ""ib"", ""ib"", ""ib"", ""ib"", ""ib"", ""ib"", ""ib"", ""uqnu"", ""ib"", ""ib"", ""ib"", ""uqnu"", ""uqnu"", ""ib""]"
a-ja-ja	a-ja-ja	a-ja-ja-sa-sa-r	21	xcr	Eteocretan	0.8095	γίσσα	17	21		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""*jnem"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""pjdl"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=l\u0329"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
i-*301-wa-ja	i-*301-wa-ja	i-*301-wa-ja-ja-i-n	26	sem-pro	Proto-Semitic	0.8077	U₃	21	26		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-b"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""s\u02e4\u0301a\u0294n-"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""\u00f0a-"", ""-at-"", ""U\u2083"", ""-r""]"
a-ta-i-*301	a-ta-i-*301	a-ta-i-*301-wa-e-a-d	15	sem-pro	Proto-Semitic	0.8000	U₃	12	15		"[""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-b"", ""U\u2083"", ""U\u2083"", ""-b"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""U\u2083"", ""-b""]"
a-ta-i-*301	a-ta-i-*301	a-ta-i-*301-wa-e-a-d	15	xrr	Etruscan	0.8000	-l(a)	12	15	of/for	"[""-r(a)"", ""-r(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""-l(a)"", ""waku""]"
i-ki-te	i-ki-te	i-ki-te-te-re-p	10	elx	Elamite	0.8000	abebe	8	10	food	"[""abebe"", ""abebe"", ""abebe"", ""abebe"", ""abebe"", ""abebe"", ""abebe"", ""bau"", ""abebe"", ""ayak""]"
i-ki-te	i-ki-te	i-ki-te-te-re-p	10	peo	Old Persian	0.8000	-ika	8	10		"[""Ma\u02d0hi\u0283"", ""-ika"", ""Ma\u02d0hi\u0283"", ""-ika"", ""-ika"", ""-ika"", ""-ika"", ""-ika"", ""-ika"", ""-ika""]"
sa-sa-ra	sa-sa-ra	sa-sa-ra-me-u-n	10	cms	Messapic	0.8000	mazzes	8	10	greater	"[""mazzes"", ""mazzes"", ""mazzes"", ""mazzes"", ""mazzes"", ""ma"", ""mazzes"", ""mazzes"", ""ma"", ""mazzes""]"
sa-sa-ra	sa-sa-ra	sa-sa-ra-me-u-n	10	ine-pro	Proto-Indo-European	0.8000	oː	8	10		"[""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""o\u02d0"", ""e\u02d0n"", ""o\u02d0"", ""o\u02d0"", ""e\u02d0n""]"
a-ma-si	a-ma-si	a-ma-si-ru-te	5	cms	Messapic	0.8000	bilia	4	5	daughter	"[""ma"", ""bilia"", ""bilia"", ""bilia"", ""bilia""]"
a-ma-si	a-ma-si	a-ma-si-ru-te	5	xld	Lydian	0.8000	kof(i)-	4	5	water	"[""sfa-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-"", ""kof(i)-""]"
a-ma-si	a-ma-si	a-ma-si-ru-te	5	xrr	Etruscan	0.8000	-u	4	5	tir raetica	"[""-\u00d8"", ""-u"", ""-u"", ""-u"", ""-u""]"
i-ja-re	i-ja-re	i-ja-re-di-ja	5	xlc	Lycian	0.8000	is-	4	5		"[""=ti"", ""is-"", ""is-"", ""is-"", ""is-""]"
i-na-ja	i-na-ja	i-na-ja-re-ta	5	cms	Messapic	0.8000	aran	4	5	arable land	"[""ai"", ""aran"", ""aran"", ""aran"", ""aran""]"
ja-ta-i	ja-ta-i	ja-ta-i-*301-u-ja	5	xlc	Lycian	0.8000	ada-	4	5	(currency unit)	"[""Masa"", ""ada-"", ""ada-"", ""ada-"", ""ada-""]"
ja-ta-i	ja-ta-i	ja-ta-i-*301-u-ja	5	xle	Eteocypriot	0.8000	rom	4	5	meaning uncertain	"[""rom"", ""rom"", ""rom"", ""rom"", ""aker""]"
ru-sa-i	ru-sa-i	ru-sa-i-da-a-u	5	elx	Elamite	0.8000	ʃutu	4	5		"[""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu"", ""tuu\u0283""]"
ru-sa-i	ru-sa-i	ru-sa-i-da-a-u	5	hit	Hittite	0.8000	iti	4	5	goes	"[""iti"", ""iti"", ""iti"", ""iti"", ""itut""]"
ru-sa-i	ru-sa-i	ru-sa-i-da-a-u	5	xrr	Etruscan	0.8000	-u	4	5	tir raetica	"[""-\u00d8"", ""-u"", ""-u"", ""-u"", ""-u""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	ave	Avestan	0.8000	[-]	4	5	bones	"[""[-]"", ""[-]"", ""[-]"", ""[-]"", ""van\u0261h""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	hit	Hittite	0.8000	iːsˤaː́	4	5		"[""as"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301"", ""i\u02d0s\u02e4a\u02d0\u0301""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	peo	Old Persian	0.8000	AM	4	5		"[""AM"", ""AM"", ""DH"", ""AM"", ""AM""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	xle	Eteocypriot	0.8000	tawarzio	4	5		"[""p\u02b0oke"", ""tawarzio"", ""tawarzio"", ""tawarzio"", ""tawarzio""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	xpg	Phrygian	0.8000	tʰri	4	5		"[""ew"", ""t\u02b0ri"", ""t\u02b0ri"", ""t\u02b0ri"", ""t\u02b0ri""]"
sa-u-na	sa-u-na	sa-u-na-ka-na	5	xrr	Etruscan	0.8000	tite	4	5	tite	"[""-\u00d8"", ""tite"", ""tite"", ""tite"", ""tite""]"
te-i-da	te-i-da	te-i-da-ja-ja	5	dra-pro	Proto-Dravidian	0.8000	ir-	4	5	wiktionary cat	"[""ir-"", ""ir-"", ""ir-"", ""ir-"", ""a\u0273\u0288\u0288-""]"
te-i-da	te-i-da	te-i-da-ja-ja	5	elx	Elamite	0.8000	buni	4	5	heart	"[""bau"", ""buni"", ""buni"", ""buni"", ""buni""]"
te-i-da	te-i-da	te-i-da-ja-ja	5	phn	Phoenician	0.8000	ʔaḫ	4	5		"[""mi\u02d0"", ""\u0294a\u1e2b"", ""\u0294a\u1e2b"", ""\u0294a\u1e2b"", ""\u0294a\u1e2b""]"
te-i-da	te-i-da	te-i-da-ja-ja	5	xcr	Eteocretan	0.8000	*mn-	4	5	fertile (?)	"[""*mn-"", ""*mn-"", ""*mn-"", ""*mn-"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	cms	Messapic	0.8000	tan	4	5	accusative feminine singular article	"[""tan"", ""tan"", ""tan"", ""tan"", ""ma""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	dra-pro	Proto-Dravidian	0.8000	poʈʈ-	4	5		"[""t\u0283up"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	ine-pro	Proto-Indo-European	0.8000	n̩	4	5		"[""n\u0329"", ""n\u0329"", ""n\u0329"", ""n\u0329"", ""nek\u02b7e""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	xcr	Eteocretan	0.8000	γέl̩α	4	5		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
u-na-ka	u-na-ka	u-na-ka-na-si	5	xrr	Etruscan	0.8000	tite	4	5	tite	"[""tite"", ""tite"", ""tite"", ""tite"", ""-\u00d8""]"
ja-di-ki	ja-di-ki	ja-di-ki-tu-ja	5	peo	Old Persian	0.8000	aiva	4	5	one	"[""aiva"", ""aiva"", ""aiva"", ""aiva"", ""avada\u02d0""]"
ja-di-ki	ja-di-ki	ja-di-ki-tu-ja	5	sem-pro	Proto-Semitic	0.8000	θuːm-	4	5		"[""\u03b8in-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-""]"
ja-di-ki	ja-di-ki	ja-di-ki-tu-ja	5	xld	Lydian	0.8000	kʷe-	4	5		"[""k\u02b7e-"", ""k\u02b7e-"", ""k\u02b7e-"", ""k\u02b7e-"", ""k\u02b7e(si)=k""]"
ja-i-nwa	ja-i-nwa	ja-i-nwa-za-*56-n	5	ine-pro	Proto-Indo-European	0.8000	ɣʷeroː	4	5		"[""ke\u02d0r"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0"", ""\u0263\u02b7ero\u02d0""]"
ja-i-nwa	ja-i-nwa	ja-i-nwa-za-*56-n	5	xle	Eteocypriot	0.8000	aker	4	5	made	"[""aker"", ""aker"", ""aker"", ""aker"", ""heloke""]"
ja-i-nwa	ja-i-nwa	ja-i-nwa-za-*56-n	5	xrr	Etruscan	0.8000	θaukʰ-	4	5		"[""-\u00d8"", ""\u03b8auk\u02b0-"", ""\u03b8auk\u02b0-"", ""\u03b8auk\u02b0-"", ""\u03b8auk\u02b0-""]"
ja-ja-di	ja-ja-di	ja-ja-di-ki-tu	5	cms	Messapic	0.8000	ai	4	5	conjunction (hypothetical)	"[""ai"", ""aran"", ""ai"", ""ai"", ""ai""]"
ja-ja-di	ja-ja-di	ja-ja-di-ki-tu	5	peo	Old Persian	0.8000	aiva	4	5	one	"[""aiva"", ""aiva"", ""aiva"", ""aiva"", ""a\u03b8a\u207f\u0261a\u02b0""]"
ja-ja-di	ja-ja-di	ja-ja-di-ki-tu	5	xlc	Lycian	0.8000	=mẽ	4	5	likewise	"[""=m\u1ebd"", ""=m\u1ebd"", ""nun\u0342-"", ""=m\u1ebd"", ""=m\u1ebd""]"
ja-ja-sa	ja-ja-sa	ja-ja-sa-sa-ra	5	cms	Messapic	0.8000	ma	4	5	prohibition particle	"[""ma"", ""ma"", ""ma"", ""ma"", ""mazzes""]"
ja-ja-sa	ja-ja-sa	ja-ja-sa-sa-ra	5	elx	Elamite	0.8000	ʃutu	4	5		"[""\u0283utu"", ""tuu\u0283"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu""]"
ja-ja-sa	ja-ja-sa	ja-ja-sa-sa-ra	5	hit	Hittite	0.8000	xʃap	4	5		"[""u\u02d0x\u02d0i"", ""x\u0283ap"", ""x\u0283ap"", ""x\u0283ap"", ""x\u0283ap""]"
ja-ja-sa	ja-ja-sa	ja-ja-sa-sa-ra	5	peo	Old Persian	0.8000	aθaⁿɡaʰ	4	5		"[""a\u03b8aga"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	ccs-pro	Proto-Kartvelian	0.8000	matʼl	4	5		"[""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""mat\u02bcl"", ""nu""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	dra-pro	Proto-Dravidian	0.8000	poʈʈ-	4	5		"[""t\u0283up"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	peo	Old Persian	0.8000	θaːjakaː	4	5		"[""-ika"", ""\u03b8a\u02d0jaka\u02d0"", ""\u03b8a\u02d0jaka\u02d0"", ""\u03b8a\u02d0jaka\u02d0"", ""\u03b8a\u02d0jaka\u02d0""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	phn	Phoenician	0.8000	ʔatta	4	5	wiktionary	"[""\u0294atta"", ""\u0294atta"", ""\u0294atta"", ""\u0294atta"", ""\u0294ala\u0283ija""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	uga	Ugaritic	0.8000	θn	4	5		"[""\u03b8n"", ""\u03b8n"", ""\u03b8n"", ""\u03b8n"", ""\u03b8l\u03b8t""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	xcr	Eteocretan	0.8000	γέl̩α	4	5		"[""\u2020=l\u0329"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1"", ""\u03b3\u03adl\u0329\u03b1""]"
ja-se-ka	ja-se-ka	ja-se-ka-na-si	5	xle	Eteocypriot	0.8000	tis	4	5	this	"[""tis"", ""tis"", ""tis"", ""tis"", ""p\u02b0oke""]"
ja-tu-ru	ja-tu-ru	ja-tu-ru-sa-i-d	5	ine-pro	Proto-Indo-European	0.8000	kʷels	4	5		"[""k\u02b7els"", ""k\u02b7els"", ""k\u02b7els"", ""k\u02b7els"", ""ksnew""]"
ja-tu-ru	ja-tu-ru	ja-tu-ru-sa-i-d	5	xlc	Lycian	0.8000	ada-	4	5	(currency unit)	"[""ada-"", ""ada-"", ""ada-"", ""ada-"", ""as""]"
ja-tu-ru	ja-tu-ru	ja-tu-ru-sa-i-d	5	xle	Eteocypriot	0.8000	awis	4	5		"[""rom"", ""awis"", ""awis"", ""awis"", ""awis""]"
ke-ta-na	ke-ta-na	ke-ta-na-i-*301-ti	5	xcr	Eteocretan	0.8000	γίσσα	4	5		"[""lrT\u0272"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
ke-ta-na	ke-ta-na	ke-ta-na-i-*301-ti	5	xld	Lydian	0.8000	esk-	4	5	these	"[""e\u0283t"", ""esk-"", ""esk-"", ""esk-"", ""esk-""]"
ma-na-da	ma-na-da	ma-na-da-wa-i-j	5	peo	Old Persian	0.8000	zana	4	5	man	"[""zana"", ""zana"", ""zana"", ""zana"", ""jaunaija""]"
ma-na-da	ma-na-da	ma-na-da-wa-i-j	5	uga	Ugaritic	0.8000	mid	4	5	oracc neo	"[""\u03b8oru"", ""mid"", ""mid"", ""mid"", ""mid""]"
ma-na-da	ma-na-da	ma-na-da-wa-i-j	5	xld	Lydian	0.8000	aɕtrkoɕ	4	5		"[""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""a\u0255trko\u0255"", ""kofu""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	ave	Avestan	0.8000	vohuniː	4	5		"[""st\u00fbt"", ""vohuni\u02d0"", ""vohuni\u02d0"", ""vohuni\u02d0"", ""vohuni\u02d0""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	ccs-pro	Proto-Kartvelian	0.8000	biɡa	4	5		"[""\u0261ab"", ""bi\u0261a"", ""bi\u0261a"", ""bi\u0261a"", ""bi\u0261a""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	elx	Elamite	0.8000	ruku	4	5	testicle	"[""ruku"", ""ruku"", ""ruku"", ""ruku"", ""ruelpa""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	peo	Old Persian	0.8000	u-man-na	4	5		"[""nava"", ""u-man-na"", ""u-man-na"", ""u-man-na"", ""u-man-na""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	phn	Phoenician	0.8000	mamlaːḵaː	4	5		"[""ja\u1e6fm\u0101"", ""mamla\u02d0\u1e35a\u02d0"", ""mamla\u02d0\u1e35a\u02d0"", ""mamla\u02d0\u1e35a\u02d0"", ""mamla\u02d0\u1e35a\u02d0""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	sem-pro	Proto-Semitic	0.8000	warx-	4	5		"[""warx-"", ""warx-"", ""warx-"", ""warx-"", ""\u03b8\u0323ahr""]"
na-ma-si	na-ma-si	na-ma-si-ru-te	5	cms	Messapic	0.8000	bilia	4	5	daughter	"[""ma"", ""bilia"", ""bilia"", ""bilia"", ""bilia""]"
na-ma-si	na-ma-si	na-ma-si-ru-te	5	phn	Phoenician	0.8000	ʔalaʃija	4	5		"[""\u0283at"", ""\u0294ala\u0283ija"", ""\u0294ala\u0283ija"", ""\u0294ala\u0283ija"", ""\u0294ala\u0283ija""]"
na-ma-si	na-ma-si	na-ma-si-ru-te	5	xcr	Eteocretan	0.8000	γίσσα	4	5		"[""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u2020=\u00f0"", ""\u03b3\u03af\u03c3\u03c3\u03b1"", ""\u03b3\u03af\u03c3\u03c3\u03b1""]"
na-ma-si	na-ma-si	na-ma-si-ru-te	5	xld	Lydian	0.8000	vsta	4	5	a heir	"[""vsta"", ""vsta"", ""vsta"", ""vsta"", ""kof(i)-""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	cms	Messapic	0.8000	ma	4	5	prohibition particle	"[""ma"", ""ma"", ""ma"", ""ma"", ""mazzes""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	dra-pro	Proto-Dravidian	0.8000	poʈʈ-	4	5		"[""a\u0273\u0288\u0288"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	elx	Elamite	0.8000	ʃutu	4	5		"[""\u0283utu"", ""tuu\u0283"", ""\u0283utu"", ""\u0283utu"", ""\u0283utu""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	hit	Hittite	0.8000	saːki	4	5		"[""tuk"", ""sa\u02d0ki"", ""sa\u02d0ki"", ""sa\u02d0ki"", ""sa\u02d0ki""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	peo	Old Persian	0.8000	aθaⁿɡaʰ	4	5		"[""a\u03b8aga"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0"", ""a\u03b8a\u207f\u0261a\u02b0""]"
nu-ja-sa	nu-ja-sa	nu-ja-sa-sa-ra	5	xur	Urartian	0.8000	am-	4	5	burn	"[""am-"", ""am-"", ""am-"", ""am-"", ""LU\u2082.TUR""]"
ra-ma-na	ra-ma-na	ra-ma-na-da-wa	5	dra-pro	Proto-Dravidian	0.8000	poʈʈ-	4	5		"[""ku\u02d0\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-"", ""po\u0288\u0288-""]"
ra-ma-na	ra-ma-na	ra-ma-na-da-wa	5	elx	Elamite	0.8000	muru	4	5	earth	"[""muru"", ""muru"", ""muru"", ""muru"", ""mardu""]"
ra-ma-na	ra-ma-na	ra-ma-na-da-wa	5	xle	Eteocypriot	0.8000	rom	4	5	meaning uncertain	"[""siwai"", ""rom"", ""rom"", ""rom"", ""rom""]"
ra-ma-na	ra-ma-na	ra-ma-na-da-wa	5	xrr	Etruscan	0.8000	utiku	4	5	given/donated (participle)	"[""-\u00d8"", ""utiku"", ""utiku"", ""utiku"", ""utiku""]"
